1992-2001(min-max),2002-2011(min-max),2012-2021(min-max)
"[-50.41, 33.33]","[-19.39, 32.32]","[-19.86, 30.69]"
"[0.0, 16173.0]","[0.0, 7870.4]","[0.0, 7976.4]"
"[25668.049, 0.0]","[34487.012, 0.004]","[37123.852, 0.007]"
